sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:NOME_PROCEDIMENTO,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
0401010015,GRADE II DRESSING WITH OR WITHOUT DEBRIDEMENT,-1,,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,0.5,4305581,Application of dressing,SNOMED,Procedure,S,41,1,Procedure,3895009,20020131,20991231,
0401010015,GRADE II DRESSING WITH OR WITHOUT DEBRIDEMENT,-1,,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,0.5,4272410,Debridement,SNOMED,Procedure,S,34,1,Procedure,36777000,20020131,20991231,
0401010015,GRADE II DRESSING WITH OR WITHOUT DEBRIDEMENT,-1,,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,0.5,4272410,Debridement,SNOMED,Procedure,S,34,1,Procedure,36777000,20020131,20991231,
0401010058,EXCISION OF LESION AND/OR WOUND SUTURE OF SKIN APPENDAGES AND MUCOSA,-1,,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,0.54,4167978,Excision of lesion of soft tissue,SNOMED,Procedure,S,48,1,Procedure,48219004,20020131,20991231,
0401010058,EXCISION OF LESION AND/OR WOUND SUTURE OF SKIN APPENDAGES AND MUCOSA,-1,,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,0.54,4213005,Closure of skin by suture,SNOMED,Procedure,S,14,2,Procedure,391906003,20030131,20991231,
0401010058,EXCISION OF LESION AND/OR WOUND SUTURE OF SKIN APPENDAGES AND MUCOSA,-1,,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,0.54,4213005,Closure of skin by suture,SNOMED,Procedure,S,14,2,Procedure,391906003,20030131,20991231,
0401010058,EXCISION OF LESION AND/OR WOUND SUTURE OF SKIN APPENDAGES AND MUCOSA,-1,,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,0.54,4213041,Operation on skin,SNOMED,Procedure,S,26,2,Procedure,392011001,20030131,20991231,
0401010074,EXERESIS OF TUMOR OF THE SKIN AND APPENDAGES / SEBACEOUS CYST / LIPOMA,-1,,EXERESE DE TUMOR DE PELE E ANEXOS / CISTO SEBACEO / LIPOMA,0.45,4180767,Removal of soft tissue,SNOMED,Procedure,S,101,2,Procedure,363285009,20020131,20991231,
0401010074,EXERESIS OF TUMOR OF THE SKIN AND APPENDAGES / SEBACEOUS CYST / LIPOMA,-1,,EXERESE DE TUMOR DE PELE E ANEXOS / CISTO SEBACEO / LIPOMA,0.45,4200015,Incision and drainage of sebaceous cyst,SNOMED,Procedure,S,0,2,Procedure,301787003,20020131,20991231,
0401010074,EXERESIS OF TUMOR OF THE SKIN AND APPENDAGES / SEBACEOUS CYST / LIPOMA,-1,,EXERESE DE TUMOR DE PELE E ANEXOS / CISTO SEBACEO / LIPOMA,0.45,4147588,Excision of lesion of skin,SNOMED,Procedure,S,35,2,Procedure,35646002,20020131,20991231,
0401010090,FULGURATION / CHEMICAL CAUTERIZATION OF SKIN LESIONS,-1,,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS,0.69,4114640,Cauterization of skin lesion,SNOMED,Procedure,S,4,2,Procedure,302395004,20020131,20991231,
0401010090,FULGURATION / CHEMICAL CAUTERIZATION OF SKIN LESIONS,-1,,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS,0.69,4114640,Cauterization of skin lesion,SNOMED,Procedure,S,4,2,Procedure,302395004,20020131,20991231,
0401010090,FULGURATION / CHEMICAL CAUTERIZATION OF SKIN LESIONS,-1,,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS,0.69,4024969,Destruction of lesion,SNOMED,Procedure,S,36,1,Procedure,120609008,20020131,20991231,
0401010112,SUBCUTANEOUS FOREIGN BODY REMOVAL,-1,,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,0.84,4313443,Removal of foreign body of subcutaneous tissue,SNOMED,Procedure,S,6,2,Procedure,86368008,20020131,20991231,
0401010112,SUBCUTANEOUS FOREIGN BODY REMOVAL,-1,,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,0.84,4313443,Removal of foreign body of subcutaneous tissue,SNOMED,Procedure,S,6,2,Procedure,86368008,20020131,20991231,
0401010112,SUBCUTANEOUS FOREIGN BODY REMOVAL,-1,,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,0.84,4313443,Removal of foreign body of subcutaneous tissue,SNOMED,Procedure,S,6,2,Procedure,86368008,20020131,20991231,
0401020037,FULL-THICKNESS FREE-SKIN GRAFT,-1,,ENXERTO LIVRE DE PELE TOTAL,0.69,4118634,Grafting to skin,SNOMED,Procedure,S,34,2,Procedure,304040003,20020131,20991231,
0401020037,FULL-THICKNESS FREE-SKIN GRAFT,-1,,ENXERTO LIVRE DE PELE TOTAL,0.69,2006559,Full-thickness skin graft to other sites,ICD9Proc,Procedure,S,0,3,4-dig billing code,86.63,19700101,20991231,
0401020037,FULL-THICKNESS FREE-SKIN GRAFT,-1,,ENXERTO LIVRE DE PELE TOTAL,0.69,4118634,Grafting to skin,SNOMED,Procedure,S,34,2,Procedure,304040003,20020131,20991231,
0401020045,"SKIN EXCISION AND GRAFT (HEMANGIOMA, NEVUS OR TUMOR)",-1,,"EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )",0.46,4264491,Excision of skin for graft,SNOMED,Procedure,S,0,2,Procedure,60709001,20020131,20991231,
0401020045,"SKIN EXCISION AND GRAFT (HEMANGIOMA, NEVUS OR TUMOR)",-1,,"EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )",0.46,4146934,Excision of hemangioma,SNOMED,Procedure,S,2,1,Procedure,309723003,20020131,20991231,
0401020045,"SKIN EXCISION AND GRAFT (HEMANGIOMA, NEVUS OR TUMOR)",-1,,"EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )",0.46,4147588,Excision of lesion of skin,SNOMED,Procedure,S,35,2,Procedure,35646002,20020131,20991231,
0401020053,EXCISION AND SUTURE OF SKIN INJURY WITH Z-PLASTY OR FLAP ROTATION,-1,,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,0.58,4119909,Skin lesion Z-plasty excision,SNOMED,Procedure,S,0,1,Procedure,287640009,20020131,20991231,
0401020053,EXCISION AND SUTURE OF SKIN INJURY WITH Z-PLASTY OR FLAP ROTATION,-1,,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,0.58,4119909,Skin lesion Z-plasty excision,SNOMED,Procedure,S,0,1,Procedure,287640009,20020131,20991231,
0401020053,EXCISION AND SUTURE OF SKIN INJURY WITH Z-PLASTY OR FLAP ROTATION,-1,,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,0.58,4119909,Skin lesion Z-plasty excision,SNOMED,Procedure,S,0,1,Procedure,287640009,20020131,20991231,
0401020100,EXTRACTION AND SUPPRESSION OF SKIN AND SUBCUTANEOUS CELL TISSUE INJURY,-1,,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,0.63,4147588,Excision of lesion of skin,SNOMED,Procedure,S,35,2,Procedure,35646002,20020131,20991231,
0401020100,EXTRACTION AND SUPPRESSION OF SKIN AND SUBCUTANEOUS CELL TISSUE INJURY,-1,,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,0.63,2006517,Other incision of skin and subcutaneous tissue,ICD9Proc,Procedure,S,0,1,4-dig billing code,86.09,19700101,20991231,
0401020100,EXTRACTION AND SUPPRESSION OF SKIN AND SUBCUTANEOUS CELL TISSUE INJURY,-1,,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,0.63,4147588,Excision of lesion of skin,SNOMED,Procedure,S,35,2,Procedure,35646002,20020131,20991231,
0402010043,TOTAL THYROIDECTOMY,-1,,TIREOIDECTOMIA TOTAL,1.0,4073199,Total thyroidectomy,SNOMED,Procedure,S,2,2,Procedure,24443003,20020131,20991231,
0402010043,TOTAL THYROIDECTOMY,-1,,TIREOIDECTOMIA TOTAL,1.0,4073199,Total thyroidectomy,SNOMED,Procedure,S,2,2,Procedure,24443003,20020131,20991231,
0402010043,TOTAL THYROIDECTOMY,-1,,TIREOIDECTOMIA TOTAL,1.0,4073199,Total thyroidectomy,SNOMED,Procedure,S,2,2,Procedure,24443003,20020131,20991231,
0403010012,CRANIOPLASTY,-1,,CRANIOPLASTIA,1.0,4138816,Cranioplasty,SNOMED,Procedure,S,95,3,Procedure,32495000,20020131,20991231,
0403010012,CRANIOPLASTY,-1,,CRANIOPLASTIA,1.0,4138816,Cranioplasty,SNOMED,Procedure,S,95,3,Procedure,32495000,20020131,20991231,
0403010012,CRANIOPLASTY,-1,,CRANIOPLASTIA,1.0,4138816,Cranioplasty,SNOMED,Procedure,S,95,3,Procedure,32495000,20020131,20991231,
0403010012,CRANIOPLASTY,-1,,CRANIOPLASTIA,1.0,4138816,Cranioplasty,SNOMED,Procedure,S,95,3,Procedure,32495000,20020131,20991231,
0403010020,DECOMPRESSIVE CRANIOTOMY,-1,,CRANIOTOMIA DESCOMPRESSIVA,0.78,40488856,Craniotomy and decompression of brain,SNOMED,Procedure,S,1,2,Procedure,446683008,20110131,20991231,
0403010020,DECOMPRESSIVE CRANIOTOMY,-1,,CRANIOTOMIA DESCOMPRESSIVA,0.78,40488856,Craniotomy and decompression of brain,SNOMED,Procedure,S,1,2,Procedure,446683008,20110131,20991231,
0403010020,DECOMPRESSIVE CRANIOTOMY,-1,,CRANIOTOMIA DESCOMPRESSIVA,0.78,40488856,Craniotomy and decompression of brain,SNOMED,Procedure,S,1,2,Procedure,446683008,20110131,20991231,
0403010020,DECOMPRESSIVE CRANIOTOMY,-1,,CRANIOTOMIA DESCOMPRESSIVA,0.78,44812195,Decompressive craniectomy,SNOMED,Procedure,S,0,1,Procedure,902111000000107,20140401,20991231,
0403010020,DECOMPRESSIVE CRANIOTOMY,-1,,CRANIOTOMIA DESCOMPRESSIVA,0.78,40488856,Craniotomy and decompression of brain,SNOMED,Procedure,S,1,2,Procedure,446683008,20110131,20991231,
0403010098,EXTERNAL VENTRICULAR-SUBGALEAL DERIVATION,-1,,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA,0.54,762757,Ventricular shunt to subgaleal space,SNOMED,Procedure,S,0,1,Procedure,431441000124105,20120901,20991231,
0403010098,EXTERNAL VENTRICULAR-SUBGALEAL DERIVATION,-1,,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA,0.54,762757,Ventricular shunt to subgaleal space,SNOMED,Procedure,S,0,1,Procedure,431441000124105,20120901,20991231,
0403010098,EXTERNAL VENTRICULAR-SUBGALEAL DERIVATION,-1,,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA,0.54,762757,Ventricular shunt to subgaleal space,SNOMED,Procedure,S,0,1,Procedure,431441000124105,20120901,20991231,
0403010098,EXTERNAL VENTRICULAR-SUBGALEAL DERIVATION,-1,,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA,0.54,762757,Ventricular shunt to subgaleal space,SNOMED,Procedure,S,0,1,Procedure,431441000124105,20120901,20991231,
0403010098,EXTERNAL VENTRICULAR-SUBGALEAL DERIVATION,-1,,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA,0.54,762757,Ventricular shunt to subgaleal space,SNOMED,Procedure,S,0,1,Procedure,431441000124105,20120901,20991231,
0403010101,VENTRICULAR BYPASS FOR PERITONEUM / ATRIUM / PLEURA / RACHIS,-1,,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,0.32,4287375,Shunt of cerebral ventricle to extracranial site,SNOMED,Procedure,S,17,1,Procedure,69483009,20020131,20991231,
0403010101,VENTRICULAR BYPASS FOR PERITONEUM / ATRIUM / PLEURA / RACHIS,-1,,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,0.32,4188466,Ventriculoperitoneal shunt,SNOMED,Procedure,S,0,4,Procedure,47020004,20020131,20991231,
0403010101,VENTRICULAR BYPASS FOR PERITONEUM / ATRIUM / PLEURA / RACHIS,-1,,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,0.32,4287375,Shunt of cerebral ventricle to extracranial site,SNOMED,Procedure,S,17,1,Procedure,69483009,20020131,20991231,
0403010101,VENTRICULAR BYPASS FOR PERITONEUM / ATRIUM / PLEURA / RACHIS,-1,,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,0.32,1531657,"Bypass Right Pleural Cavity to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach",ICD10PCS,Procedure,S,0,5,ICD10PCS,0W193JG,20190101,20991231,
0403010101,VENTRICULAR BYPASS FOR PERITONEUM / ATRIUM / PLEURA / RACHIS,-1,,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,0.32,4287375,Shunt of cerebral ventricle to extracranial site,SNOMED,Procedure,S,17,1,Procedure,69483009,20020131,20991231,
0403010128,ENDOSCOPIC BRAIN MICROSURGERY,-1,,MICROCIRURGIA CEREBRAL ENDOSCOPICA,0.66,4030797,Brain endoscopy,SNOMED,Procedure,S,2,2,Procedure,108112003,20020131,20991231,
0403010128,ENDOSCOPIC BRAIN MICROSURGERY,-1,,MICROCIRURGIA CEREBRAL ENDOSCOPICA,0.66,4030797,Brain endoscopy,SNOMED,Procedure,S,2,2,Procedure,108112003,20020131,20991231,
0403010128,ENDOSCOPIC BRAIN MICROSURGERY,-1,,MICROCIRURGIA CEREBRAL ENDOSCOPICA,0.66,4030797,Brain endoscopy,SNOMED,Procedure,S,2,2,Procedure,108112003,20020131,20991231,
0403010128,ENDOSCOPIC BRAIN MICROSURGERY,-1,,MICROCIRURGIA CEREBRAL ENDOSCOPICA,0.66,4030797,Brain endoscopy,SNOMED,Procedure,S,2,2,Procedure,108112003,20020131,20991231,
0403010128,ENDOSCOPIC BRAIN MICROSURGERY,-1,,MICROCIRURGIA CEREBRAL ENDOSCOPICA,0.66,4030797,Brain endoscopy,SNOMED,Procedure,S,2,2,Procedure,108112003,20020131,20991231,
0403010144,CRANIAL / CRANIOFACIAL RECONSTRUCTION,-1,,RECONSTRUCAO CRANIANA / CRANIO-FACIAL,0.69,4153288,Reconstruction of cranial defect,SNOMED,Procedure,S,13,2,Procedure,271416007,20020131,20991231,
0403010144,CRANIAL / CRANIOFACIAL RECONSTRUCTION,-1,,RECONSTRUCAO CRANIANA / CRANIO-FACIAL,0.69,4153288,Reconstruction of cranial defect,SNOMED,Procedure,S,13,2,Procedure,271416007,20020131,20991231,
0403010144,CRANIAL / CRANIOFACIAL RECONSTRUCTION,-1,,RECONSTRUCAO CRANIANA / CRANIO-FACIAL,0.69,4230269,Reconstruction of cranial and facial bones using autograft,SNOMED,Procedure,S,1,3,Procedure,438488001,20090131,20991231,
0403010144,CRANIAL / CRANIOFACIAL RECONSTRUCTION,-1,,RECONSTRUCAO CRANIANA / CRANIO-FACIAL,0.69,44811526,Transcranial repair of craniofacial cleft and reconstruction of cranial and facial bones,SNOMED,Procedure,S,0,5,Procedure,904671000000102,20140401,20991231,
0403010144,CRANIAL / CRANIOFACIAL RECONSTRUCTION,-1,,RECONSTRUCAO CRANIANA / CRANIO-FACIAL,0.69,4153288,Reconstruction of cranial defect,SNOMED,Procedure,S,13,2,Procedure,271416007,20020131,20991231,
0403010241,SURGICAL TREATMENT OF CRANIAL LIQUORIC FISTULA,-1,,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA,0.44,4046917,Repair of cranial cerebrospinal fluid fistula,SNOMED,Procedure,S,3,2,Procedure,230833009,20020131,20991231,
0403010241,SURGICAL TREATMENT OF CRANIAL LIQUORIC FISTULA,-1,,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA,0.44,4046917,Repair of cranial cerebrospinal fluid fistula,SNOMED,Procedure,S,3,2,Procedure,230833009,20020131,20991231,
0403010241,SURGICAL TREATMENT OF CRANIAL LIQUORIC FISTULA,-1,,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA,0.44,4046917,Repair of cranial cerebrospinal fluid fistula,SNOMED,Procedure,S,3,2,Procedure,230833009,20020131,20991231,
0403010241,SURGICAL TREATMENT OF CRANIAL LIQUORIC FISTULA,-1,,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA,0.44,4046917,Repair of cranial cerebrospinal fluid fistula,SNOMED,Procedure,S,3,2,Procedure,230833009,20020131,20991231,
0403010268,SURGICAL TREATMENT OF DEPRESSED SKULL FRACTURE,-1,,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO,0.62,4243629,Reduction of fracture of skull,SNOMED,Procedure,S,12,2,Procedure,38071001,20020131,20991231,
0403010268,SURGICAL TREATMENT OF DEPRESSED SKULL FRACTURE,-1,,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO,0.62,4243629,Reduction of fracture of skull,SNOMED,Procedure,S,12,2,Procedure,38071001,20020131,20991231,
0403010268,SURGICAL TREATMENT OF DEPRESSED SKULL FRACTURE,-1,,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO,0.62,40486455,Elevation of depressed fracture of skull and debridement of brain,SNOMED,Procedure,S,0,2,Procedure,446115005,20110131,20991231,
0403010268,SURGICAL TREATMENT OF DEPRESSED SKULL FRACTURE,-1,,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO,0.62,4243629,Reduction of fracture of skull,SNOMED,Procedure,S,12,2,Procedure,38071001,20020131,20991231,
0403010276,SURGICAL TREATMENT OF EXTRADURAL HEMATOMA,-1,,TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL,0.5,4063759,Evacuation of intracranial extradural hematoma,SNOMED,Procedure,S,0,3,Procedure,171713001,20020131,20991231,
0403010276,SURGICAL TREATMENT OF EXTRADURAL HEMATOMA,-1,,TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL,0.5,4333692,Evacuation of spinal extradural hematoma,SNOMED,Procedure,S,0,4,Procedure,230988009,20020131,20991231,
0403010276,SURGICAL TREATMENT OF EXTRADURAL HEMATOMA,-1,,TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL,0.5,4333692,Evacuation of spinal extradural hematoma,SNOMED,Procedure,S,0,4,Procedure,230988009,20020131,20991231,
0403010276,SURGICAL TREATMENT OF EXTRADURAL HEMATOMA,-1,,TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL,0.5,4333692,Evacuation of spinal extradural hematoma,SNOMED,Procedure,S,0,4,Procedure,230988009,20020131,20991231,
